firm	ano	state	industry
2354758	2008	SP	51551
2354669	2008	SP	22292
2354705	2009	SP	52329
6943148	2007	SP	71404
3134314	2009	SP	74993
2354755	2009	SP	92614
2354691	2009	SP	50300
2354641	2010	SP	70319
2354639	2005	SP	74608
2354703	2006	SP	52442
30003	2009	TO	74993
2354640	2009	SP	50300
2354831	2010	SP	29297
2354731	2007	SP	80993
2354647	2007	SP	93017
2354698	2006	SP	50415
2354821	2008	SP	51691
6824007	2005	SP	52450
3134316	2008	SP	18120
8213022	2008	RS	85162
6738630	2005	SP	55220
2354775	2009	SP	50300
2354641	2007	SP	70203
2354773	2006	SP	52493
292327	2006	DF	55212
2354708	2007	SP	26301
2354652	2005	SP	52493
2354689	2010	SP	26417
6887270	2008	SP	28126
292346	2008	DF	70106
3134316	2007	SP	18120
2354653	2010	SP	
2354710	2010	SP	52450
2354754	2006	SP	52493
2354639	2006	SP	74608
2354675	2006	SP	52230
3658298	2005	SP	70327
2354733	2010	SP	74993
2354689	2006	SP	26417
2354791	2005	SP	52221
7144615	2007	SP	52213
2354680	2007	SP	55212
7683192	2005	SP	52132
2354696	2010	SP	55220
2354818	2006	SP	52442
2354781	2010	SP	55212
2354774	2008	SP	50202
2354823	2007	SP	52442
292346	2010	DF	70106
2354678	2010	SP	52493
2354643	2009	SP	80144
2354791	2009	SP	52493
2354791	2008	SP	52493
2354672	2007	SP	29297
2354676	2007	SP	52442
7813099	2006	SP	52493
2354690	2010	SP	52329
2354656	2005	SP	74110
2354713	2009	SP	29246
2354669	2007	SP	22292
2354622	2009	SP	74128
2354755	2005	SP	52493
2354671	2005	SP	52329
2354794	2008	SP	52442
2354676	2005	SP	52442
2354620	2006	SP	92398
292345	2008	DF	55131
2354763	2009	SP	52469
3658298	2008	SP	70327
2354804	2006	SP	15113
5296083	2007	SP	52493
3134315	2005	SP	52132
7813100	2005	SP	52310
2354703	2010	SP	52442
3134310	2009	SP	55220
2354653	2009	SP	
2354726	2009	SP	70327
2354652	2009	SP	31119
2354688	2007	SP	18120
2354749	2005	SP	55212
2354758	2006	SP	51551
2354747	2007	SP	60267
2354733	2006	SP	74993
7813102	2006	SP	52221
2354620	2007	SP	92398
2354672	2009	SP	29297
3658298	2007	SP	70327
2354793	2010	SP	52418
2354758	2010	SP	51551
3134312	2008	SP	52493
2354697	2007	SP	52159
2354625	2009	SP	85138
7505511	2005	SP	36110
3134304	2009	SP	52493
3658304	2007	SP	26417
2354747	2005	SP	60267
2354684	2008	SP	52230
2354759	2008	SP	52710
2354703	2009	SP	52442
2354808	2006	SP	60267
2354811	2005	SP	15814
2354633	2005	SP	60267
292327	2008	DF	55212
2354773	2007	SP	52493
2354808	2009	SP	60267
2354631	2008	SP	92614
2354804	2008	SP	15113
2354657	2008	SP	74705
3658300	2010	SP	51390
2354718	2009	SP	72214
2354802	2006	SP	52442
2354755	2006	SP	92614
2354644	2009	SP	80144
573310	2009	MG	95001
2354723	2009	SP	63304
2354833	2006	SP	33103
7187476	2005	SP	52329
2354673	2005	SP	52132
6831676	2005	SP	52418
2354718	2010	SP	72214
2354780	2008	SP	52418
2354809	2007	SP	52230
2354652	2008	SP	31119
2354671	2010	SP	52329
2354719	2009	SP	28126
2354657	2009	SP	74705
6738617	2008	SP	52469
6934575	2007	SP	93025
