firm	ano	worker	rem	horas	exp	idade	edu	sex
30003	2005	671133	1.16	44	56	25	17	M
30003	2005	894284	1.08	44	35	20	16	M
30003	2006	637189	1	44	12	21	16	M
30003	2006	671133	1.15	44	68	26	16	M
30003	2006	894284	1.11	44	36	21	16	M
30003	2007	637189	1.04	44	24	22	16	M
30003	2007	775761	1.23	44	64	37	18	F
30003	2008	637188	1	44	10	19	16	F
30003	2008	637189	1.05	44	36	23	16	F
30003	2008	637190	1.1	44	12	17	16	F
30003	2009	637188	1	44	22	20	15	M
30003	2009	637188	1	44	22	20	15	M
30003	2009	637189	1.03	44	48	24	16	M
30003	2009	637189	1.03	44	48	24	16	M
30003	2009	637190	1.01	44	20	18	16	M
30003	2009	637190	1.01	44	20	18	16	M
30003	2010	637188	1.01	44	34	21	15	M
30003	2010	637189	1.08	44	55	25	16	M
30003	2010	54974644	1.03	44	4	24	17	M
292324	2005	5537843	2.3900001	44	66	25	17	F
292324	2005	5537844	2.0799999	44	59	31	18	F
292324	2005	66516897	8.6300001	44	51	53	15	F
292324	2005	75671987	1.5599999	44	112.8	35	16	F
292324	2006	5537843	4.8800001	44	78	26	17	F
292324	2006	5537844	1.84	44	71	32	18	F
292324	2006	5537846	1.3200001	44	2	39	13	F
292324	2006	6455858	1.58	44	29	20	17	F
292324	2006	56048550	1.27	44	7	20	15	M
292324	2006	66516897	12.66	44	63	54	15	F
292324	2006	75671987	1.33	44	121.8	36	16	F
292324	2006	77033642	2.8499999	44	94	33	13	M
292324	2006	102954407	7.4200001	44	46.5	31	17	F
292324	2007	5537843	6.1500001	44	82	27	17	F
292324	2007	5537843	2.8199999	44	82	27	17	F
292324	2007	5537844	3.0899999	44	83	33	18	F
292324	2007	5537846	1.39	44	14	40	13	F
292324	2007	6253230	1.3	44	3	34	17	F
292324	2007	6596777	1.26	44	71	40	16	F
292324	2007	66516897	15.77	44	73	55	15	F
292324	2007	77033642	2.8499999	44	97	34	13	M
292324	2007	102954407	7.1300001	44	58.5	32	17	F
292324	2008	5537843	2.8	44	94	28	17	F
292324	2008	5537844	3.4300001	44	95	34	19	F
292324	2008	5537846	1.72	44	26	41	16	F
292324	2008	5537847	1.23	44	9	21	15	M
292324	2008	5537848	1.1900001	44	9	35	13	F
292324	2008	6596777	1.24	44	75	41	16	F
292324	2008	102954407	7.0999999	44	63.5	33	17	F
292324	2009	5537843	2.46	44	106	29	17	F
292324	2009	5537844	3.3499999	44	107	35	19	F
292324	2009	5537845	1.13	44	20	29	15	F
292324	2009	5537846	2.99	44	38	42	15	F
292324	2009	5537847	1.16	44	21	22	15	M
292324	2009	5537848	1.11	44	21	36	13	F
292324	2010	5537844	3.3099999	44	119	36	19	F
292324	2010	5537846	2.5999999	44	50	43	15	F
292324	2010	5537847	1.17	44	33	23	15	M
292324	2010	5537848	1.1	44	33	37	13	F
292327	2005	5537970	1.14	44	24	55	16	M
292327	2005	5537971	1.23	44	139	49	12	M
292327	2005	5537972	1.23	44	47	45	15	M
292327	2005	5537973	3.02	44	28	42	17	M
292327	2005	5537974	1.27	44	139	41	13	M
292327	2005	5537975	1.23	44	138	35	12	M
292327	2005	6355964	1.23	44	101	40	16	M
292327	2006	5537970	1.12	44	36	56	16	M
292327	2006	5537971	1.14	44	151	50	12	M
292327	2006	5537972	1.14	44	59	46	15	M
292327	2006	5537973	2.7	44	40	43	17	M
292327	2006	5537974	1.14	44	151	42	13	M
292327	2006	5537975	1.11	44	150	36	12	M
292327	2006	6355964	1.14	44	113	41	16	M
292327	2007	5537970	1.1	44	48	57	16	M
292327	2007	5537971	1.08	44	163	51	12	M
292327	2007	5537972	1.1	44	71	47	15	M
292327	2007	5537973	2.54	44	52	44	17	M
292327	2007	5537974	1.0599999	44	163	43	13	M
292327	2007	5537975	1.1	44	162	37	12	M
292327	2007	6355964	1.1	44	120	42	16	M
292327	2008	5537970	1.09	44	60	58	16	M
292327	2008	5537971	1.0599999	44	175	52	12	M
292327	2008	5537972	1.1	44	83	48	15	M
292327	2008	5537973	2.4400001	44	64	45	17	M
292327	2008	5537974	1.14	44	175	44	13	M
292327	2008	5537975	1.14	44	174	38	12	M
292327	2008	5537977	1.12	44	8	22	16	M
292327	2008	5537980	1.12	44	11	26	16	M
292327	2008	6489430	1.03	44	67	39	16	M
292327	2009	5537970	1.1	44	72	59	16	M
292327	2009	5537971	1.13	44	187	53	12	M
292327	2009	5537972	1.1	44	95	49	15	M
292327	2009	5537973	2.3099999	44	76	46	17	M
292327	2009	5537974	1.04	44	187	45	13	M
292327	2009	5537975	1.09	44	186	39	12	M
292327	2009	5537976	0	44	51	33	16	M
292327	2009	5537977	1.13	44	20	23	16	M
292327	2009	5537978	1.09	44	11	26	16	M
292327	2009	5537979	1.12	44	12	20	17	M
292327	2009	5537980	1.1	44	23	27	16	M
292327	2010	5537970	1.09	44	84	60	16	M
292327	2010	5537971	1.09	44	199	54	12	M
292327	2010	5537972	1.09	44	107	50	15	M
292327	2010	5537973	2.24	44	88	47	17	M
292327	2010	5537974	1.11	44	199	46	13	M
292327	2010	5537975	1.12	44	198	40	12	M
292327	2010	5537977	1.17	44	32	24	16	M
292327	2010	5537978	1.11	44	23	27	16	M
292327	2010	5537979	1.16	44	24	21	17	M
292327	2010	5537980	1.1	44	35	28	16	M
292327	2010	109123471	2.29	44	4	37	17	M
292334	2005	5538427	1.64	44	126	51	15	M
292334	2006	5538427	1.45	44	138	52	15	M
292334	2007	5538427	1.51	44	150	53	15	M
292334	2008	5538427	1.55	44	162	54	15	M
292334	2009	5538427	1.52	44	174	55	15	M
292334	2010	5538427	1.33	44	186	56	15	M
292345	2005	5540175	1.46	44	111.8	46	17	F
292345	2005	5540176	3.0699999	44	115.8	37	17	M
292345	2005	5540177	4.0599999	44	107.5	30	14	M
292345	2005	5540178	3.0999999	44	105	39	18	F
292345	2005	5540179	1.47	44	97.800003	40	14	F
292345	2005	5540180	1.45	44	81.900002	28	16	F
292345	2005	5540181	1.34	44	32	45	15	F
292345	2005	5540183	1.45	44	77.5	44	14	F
292345	2005	5540184	1.63	44	58	27	15	M
292345	2005	5540188	1.09	44	10	16	16	M
292345	2005	6313315	3.1099999	44	8	20	17	F
292345	2005	6317479	1.27	44	109.7	29	17	F
292345	2005	6395180	1.49	44	41	28	14	F
292345	2005	6702189	1.86	44	84	36	14	M
292345	2005	56077354	1.45	44	55	49	15	F
292345	2005	100205387	1.5599999	44	9	18	18	M
292345	2007	5540175	1.5700001	44	123.8	48	17	F
292345	2007	5540176	2.7	44	127.8	39	17	M
292345	2007	5540177	2.6900001	44	119.5	32	17	M
292345	2007	5540178	2.7	44	117	41	18	F
292345	2007	5540179	1.5599999	44	109.8	42	14	F
292345	2007	5540180	1.63	44	93.900002	30	17	F
292345	2007	5540181	1.33	44	44	47	15	F
292345	2007	5540183	1.6	44	89.5	46	14	F
292345	2007	5540184	1.67	44	70	29	15	M
292345	2007	5540186	1.58	44	46	26	15	M
292345	2007	5540187	1.46	44	12	33	15	F
292345	2007	5540188	1.05	44	22	18	16	M
292345	2007	6321234	1.5	44	20	24	17	M
292345	2007	6395180	1.45	44	53	30	14	F
292345	2007	56077354	1.36	44	67	51	15	F
292345	2007	72954595	1.37	44	42.299999	47	14	F
292345	2007	86972298	1.41	44	10	19	15	F
292345	2007	100205387	1.5599999	44	21	20	18	M
292345	2008	5540175	1.63	44	135.8	49	17	F
292345	2008	5540176	1.83	44	139.8	40	16	M
292345	2008	5540177	1.83	44	131.5	33	17	M
292345	2008	5540178	1.83	44	129	42	16	F
292345	2008	5540179	1.61	44	121.8	43	17	F
292345	2008	5540180	1.5	44	105.9	31	17	F
292345	2008	5540181	1.08	44	56	48	17	F
292345	2008	5540183	1.08	44	101.5	47	17	F
292345	2008	5540184	1.49	44	82	30	17	M
292345	2008	5540186	1.64	44	58	27	17	M
292345	2008	5540187	1.52	44	24	34	17	F
292345	2008	5540188	1.01	44	34	19	17	M
292345	2008	100205387	1.08	44	33	21	16	M
292345	2009	5540175	1.11	44	147.8	50	16	F
292345	2009	5540176	2.3499999	44	151.8	41	16	M
292345	2009	5540177	2.71	44	143.5	34	17	M
292345	2009	5540178	2.47	44	141	43	16	F
292345	2009	5540179	1.11	44	133.8	44	16	F
292345	2009	5540180	1.54	44	117.9	32	17	
292345	2009	5540181	1.12	44	68	49	19	F
292345	2009	5540182	1.25	44	10	23	17	M
292345	2009	5540183	1.08	44	113.5	48	16	F
292345	2009	5540184	1.22	44	94	31	17	M
292345	2009	5540185	1.1	44	15	34	17	F
292345	2009	5540186	1.45	44	70	28	17	M
292345	2009	5540187	1.12	44	36	35	16	F
292345	2009	5540188	1.08	44	46	20	17	M
292345	2009	100205387	1.35	44	45	22	16	M
292345	2010	5540175	1.08	44	159.8	51	16	F
292345	2010	5540176	2.3299999	44	163.8	42	16	M
292345	2010	5540177	2.3299999	44	155.5	35	17	M
292345	2010	5540178	2.71	44	153	44	16	F
292345	2010	5540179	1.17	44	145.8	45	16	F
292345	2010	5540180	2.02	44	129.89999	33	17	
292345	2010	5540181	1.08	44	80	50	16	F
292345	2010	5540182	1.14	44	11.3	24	17	M
292345	2010	5540183	1.12	44	125.5	49	16	F
292345	2010	5540184	1.14	44	106	32	17	M
292345	2010	5540186	1.35	44	82	29	17	M
292345	2010	5540187	1.09	44	48	36	16	F
292345	2010	5540188	1.02	44	50	21	17	M
292345	2010	6419036	1.05	44	76	32	16	F
292345	2010	48109790	1.08	44	16.5	35	16	F
292345	2010	100205387	1.46	44	57	23	16	M
292346	2005	6160006	1.4299999	44	48	39	17	M
292346	2005	6351223	2.1700001	44	116	54	15	M
292346	2005	6351224	3.4300001	44	144	35	15	F
292346	2005	6351225	2.54	44	64	52	17	M
292346	2005	6351226	2.0999999	44	43	27	13	M
292346	2005	6430900	1.42	44	37	23	15	M
292346	2005	6479688	1.4299999	44	48	32	15	M
292346	2005	6497077	1.38	44	22	24	15	M
292346	2005	6609713	1.4299999	44	10	27	15	M
292346	2005	6636645	1.4299999	44	86	34	15	M
292346	2005	55966004	2.2	44	75	45	17	M
292346	2005	63585169	2.2	44	86	59	15	M
292346	2005	77047093	2.2	44	8	50	17	M
292346	2005	100205890	3.26	44	44.400002	28	17	M
292346	2006	6351224	3.3199999	44	151	36	15	F
292346	2006	6351226	1.96	44	50	28	13	M
292346	2006	6430900	1.26	44	49	24	15	M
292346	2007	5540189	5.5100002	44	127.9	43	17	M
292346	2008	5540189	5.4699998	44	139.89999	44	17	M
292346	2009	5540189	5.04	44	151.89999	45	17	M
292346	2010	5540189	5.2600002	44	163.89999	46	17	M
292348	2005	5540226	.95999998	44	32	51	15	F
292348	2005	6414525	1.41	44	60	27	15	M
292348	2005	109023927	1.23	44	11	43	15	F
292348	2005	109644151	.94	44	1	19	15	M
292348	2006	5540226	1.11	44	44	52	15	F
